Tamanho do Cache|Total Hits|Total Misses|HitRatio|Tipo do Cache
1|2|149998|0,00|FIFO
10|32|149968|0,02|FIFO
100|457|149543|0,30|FIFO
500|2200|147800|1,47|FIFO
1000|4246|145754|2,83|FIFO
5000|18312|131688|12,21|FIFO
10000|31688|118312|21,13|FIFO
15000|42354|107646|28,24|FIFO
20000|51030|98970|34,02|FIFO
25000|58198|91802|38,80|FIFO
30000|63852|86148|42,57|FIFO
35000|68818|81182|45,88|FIFO
40000|72611|77389|48,41|FIFO
45000|75977|74023|50,65|FIFO
50000|79098|70902|52,73|FIFO
55000|82184|67816|54,79|FIFO
60000|84460|65540|56,31|FIFO
64000|85427|64573|56,95|FIFO
64558|85441|64559|56,96|FIFO
64559|85441|64559|56,96|FIFO
64560|85441|64559|56,96|FIFO
70000|85441|64559|56,96|FIFO
80000|85441|64559|56,96|FIFO
90000|85441|64559|56,96|FIFO
100000|85441|64559|56,96|FIFO
1|2|149998|0,00|LRU
10|32|149968|0,02|LRU
100|458|149542|0,31|LRU
500|2228|147772|1,49|LRU
1000|4355|145645|2,90|LRU
5000|19560|130440|13,04|LRU
10000|34567|115433|23,04|LRU
15000|46698|103302|31,13|LRU
20000|56528|93472|37,69|LRU
25000|64416|85584|42,94|LRU
30000|70644|79356|47,10|LRU
35000|75504|74496|50,34|LRU
40000|79172|70828|52,78|LRU
45000|81827|68173|54,55|LRU
50000|83589|66411|55,73|LRU
55000|84688|65312|56,46|LRU
60000|85290|64710|56,86|LRU
64000|85435|64565|56,96|LRU
64558|85441|64559|56,96|LRU
64559|85441|64559|56,96|LRU
64560|85441|64559|56,96|LRU
70000|85441|64559|56,96|LRU
75000|85441|64559|56,96|LRU
80000|85441|64559|56,96|LRU
85000|85441|64559|56,96|LRU
90000|85441|64559|56,96|LRU
95000|85441|64559|56,96|LRU
100000|85441|64559|56,96|LRU
1|2|149998|0,00|LFU
10|129|149871|0,09|LFU
100|1037|148963|0,69|LFU
500|4435|145565|2,96|LFU
1000|7944|142056|5,30|LFU
5000|27871|122129|18,58|LFU
10000|44064|105936|29,38|LFU
15000|55421|94579|36,95|LFU
20000|63945|86055|42,63|LFU
25000|70081|79919|46,72|LFU
30000|74746|75254|49,83|LFU
35000|78184|71816|52,12|LFU
40000|80682|69318|53,79|LFU
45000|82529|67471|55,02|LFU
50000|83873|66127|55,92|LFU
55000|84786|65214|56,52|LFU
60000|85299|64701|56,87|LFU
64000|85435|64565|56,96|LFU
64558|85441|64559|56,96|LFU
64559|85441|64559|56,96|LFU
64560|85441|64559|56,96|LFU
70000|85441|64559|56,96|LFU
75000|85441|64559|56,96|LFU
80000|85441|64559|56,96|LFU
85000|85441|64559|56,96|LFU
90000|85441|64559|56,96|LFU
95000|85441|64559|56,96|LFU
100000|85441|64559|56,96|LFU
